epoch,learning_rate,step,train_loss,val_auc,val_loss
0,,1028,,0.6952114701271057,0.09458844363689423
0,0.000999992247670889,1028,0.15728759765625,,
1,,2057,,0.6912187337875366,0.09529714286327362
1,0.0008999865967780352,2057,0.15078870952129364,,
2,,3086,,0.6977038383483887,0.09367834776639938
2,0.0008100094273686409,3086,0.14932718873023987,,
3,,4115,,0.6963995099067688,0.0918637290596962
3,0.0007290055509656668,4115,0.1485116183757782,,
4,,5144,,0.6918341517448425,0.0900711864233017
4,0.0006561059271916747,5144,0.1473453789949417,,
5,,6173,,0.6996175646781921,0.09035523980855942
5,0.0005904971621930599,6173,0.14677047729492188,,
6,,7202,,0.6897459030151367,0.09719312936067581
6,0.0005314366426318884,7202,0.1457165777683258,,
7,,8231,,0.7059435248374939,0.09666647017002106
7,0.0004782974428962916,8231,0.14507320523262024,,
8,,9260,,0.6947552561759949,0.09555035084486008
8,0.00043046518112532794,9260,0.1443217694759369,,
9,,10289,,0.7012954950332642,0.09713832288980484
9,0.0003874227113556117,10289,0.1430540680885315,,
